Número de Orden,Número de Mesa,Nombre del Plato,Descripción del Plato,Costo Unitario,Precio Unitario,Cantidad Ordenada,Tiempo de Preparación,Observaciones,Ganancia Bruta,Ganancia Neta,Porcentaje de Ganancia
115,12,Plato_6,Descripción del Plato_6,16,27,3,23,Sin cebolla,81,33,41.00%
115,12,Plato_2,Descripción del Plato_2,18,30,2,32,Sin cebolla,60,24,40.00%
115,12,Plato_15,Descripción del Plato_15,19,32,3,43,Sin cebolla,96,39,41.00%
116,8,Plato_15,Descripción del Plato_15,19,32,3,54,Sin cebolla,96,39,41.00%
116,8,Plato_8,Descripción del Plato_8,21,35,1,21,Ninguna,35,14,40.00%
116,8,Plato_19,Descripción del Plato_19,22,36,1,26,Sin cebolla,36,14,39.00%
116,8,Plato_18,Descripción del Plato_18,20,34,3,28,Sin cebolla,102,42,41.00%
117,8,Plato_8,Descripción del Plato_8,21,35,2,8,Sin cebolla,70,28,40.00%
118,13,Plato_4,Descripción del Plato_4,10,18,3,39,Ninguna,54,24,44.00%
118,13,Plato_14,Descripción del Plato_14,14,23,3,22,Sin cebolla,69,27,39.00%
118,13,Plato_6,Descripción del Plato_6,16,27,2,52,Sin cebolla,54,22,41.00%
118,13,Plato_15,Descripción del Plato_15,19,32,1,23,Sin cebolla,32,13,41.00%
119,17,Plato_10,Descripción del Plato_10,15,26,1,7,Ninguna,26,11,42.00%
119,17,Plato_19,Descripción del Plato_19,22,36,2,13,Sin cebolla,72,28,39.00%
119,17,Plato_4,Descripción del Plato_4,10,18,2,34,Sin cebolla,36,16,44.00%
120,4,Plato_17,Descripción del Plato_17,19,31,3,56,Sin cebolla,93,36,39.00%
120,4,Plato_10,Descripción del Plato_10,15,26,2,41,Sin cebolla,52,22,42.00%
121,5,Plato_10,Descripción del Plato_10,15,26,2,38,Ninguna,52,22,42.00%
122,6,Plato_8,Descripción del Plato_8,21,35,3,32,Ninguna,105,42,40.00%
123,16,Plato_7,Descripción del Plato_7,14,24,1,33,Sin cebolla,24,10,42.00%
124,16,Plato_3,Descripción del Plato_3,12,20,2,43,Ninguna,40,16,40.00%
124,16,Plato_1,Descripción del Plato_1,15,25,1,27,Sin cebolla,25,10,40.00%
124,16,Plato_11,Descripción del Plato_11,20,33,3,9,Sin cebolla,99,39,39.00%
124,16,Plato_9,Descripción del Plato_9,17,29,2,59,Sin cebolla,58,24,41.00%
125,14,Plato_16,Descripción del Plato_16,16,28,2,38,Sin cebolla,56,24,43.00%
125,14,Plato_18,Descripción del Plato_18,20,34,2,15,Ninguna,68,28,41.00%
125,14,Plato_3,Descripción del Plato_3,12,20,3,31,Ninguna,60,24,40.00%
126,18,Plato_16,Descripción del Plato_16,16,28,1,19,Sin cebolla,28,12,43.00%
126,18,Plato_8,Descripción del Plato_8,21,35,1,40,Sin cebolla,35,14,40.00%
126,18,Plato_7,Descripción del Plato_7,14,24,3,27,Ninguna,72,30,42.00%
126,18,Plato_2,Descripción del Plato_2,18,30,1,53,Ninguna,30,12,40.00%
127,6,Plato_19,Descripción del Plato_19,22,36,2,30,Sin cebolla,72,28,39.00%
128,2,Plato_1,Descripción del Plato_1,15,25,3,53,Ninguna,75,30,40.00%
128,2,Plato_4,Descripción del Plato_4,10,18,3,50,Sin cebolla,54,24,44.00%
128,2,Plato_7,Descripción del Plato_7,14,24,2,35,Sin cebolla,48,20,42.00%
128,2,Plato_17,Descripción del Plato_17,19,31,2,34,Sin cebolla,62,24,39.00%
129,16,Plato_12,Descripción del Plato_12,11,19,3,6,Sin cebolla,57,24,42.00%
129,16,Plato_3,Descripción del Plato_3,12,20,1,24,Ninguna,20,8,40.00%
129,16,Plato_9,Descripción del Plato_9,17,29,1,50,Ninguna,29,12,41.00%
130,10,Plato_8,Descripción del Plato_8,21,35,1,25,Sin cebolla,35,14,40.00%
131,7,Plato_20,Descripción del Plato_20,25,40,1,43,Sin cebolla,40,15,38.00%
131,7,Plato_4,Descripción del Plato_4,10,18,3,20,Ninguna,54,24,44.00%
131,7,Plato_13,Descripción del Plato_13,13,21,3,57,Sin cebolla,63,24,38.00%
132,9,Plato_14,Descripción del Plato_14,14,23,1,6,Sin cebolla,23,9,39.00%
132,9,Plato_19,Descripción del Plato_19,22,36,1,18,Ninguna,36,14,39.00%
132,9,Plato_13,Descripción del Plato_13,13,21,2,53,Ninguna,42,16,38.00%
132,9,Plato_8,Descripción del Plato_8,21,35,3,25,Sin cebolla,105,42,40.00%
133,20,Plato_15,Descripción del Plato_15,19,32,1,5,Ninguna,32,13,41.00%
133,20,Plato_18,Descripción del Plato_18,20,34,1,45,Sin cebolla,34,14,41.00%
133,20,Plato_17,Descripción del Plato_17,19,31,2,46,Ninguna,62,24,39.00%
133,20,Plato_4,Descripción del Plato_4,10,18,3,11,Ninguna,54,24,44.00%
134,3,Plato_7,Descripción del Plato_7,14,24,1,19,Ninguna,24,10,42.00%
134,3,Plato_15,Descripción del Plato_15,19,32,3,29,Ninguna,96,39,41.00%
135,11,Plato_17,Descripción del Plato_17,19,31,3,17,Ninguna,93,36,39.00%
135,11,Plato_20,Descripción del Plato_20,25,40,2,42,Ninguna,80,30,38.00%
135,11,Plato_9,Descripción del Plato_9,17,29,3,29,Sin cebolla,87,36,41.00%
136,6,Plato_20,Descripción del Plato_20,25,40,2,13,Sin cebolla,80,30,38.00%
137,13,Plato_13,Descripción del Plato_13,13,21,3,41,Sin cebolla,63,24,38.00%
138,6,Plato_17,Descripción del Plato_17,19,31,2,40,Ninguna,62,24,39.00%
138,6,Plato_12,Descripción del Plato_12,11,19,2,6,Ninguna,38,16,42.00%
138,6,Plato_10,Descripción del Plato_10,15,26,3,7,Sin cebolla,78,33,42.00%
138,6,Plato_2,Descripción del Plato_2,18,30,2,44,Sin cebolla,60,24,40.00%
139,16,Plato_8,Descripción del Plato_8,21,35,1,26,Ninguna,35,14,40.00%
140,11,Plato_1,Descripción del Plato_1,15,25,2,35,Ninguna,50,20,40.00%
140,11,Plato_8,Descripción del Plato_8,21,35,3,35,Sin cebolla,105,42,40.00%
140,11,Plato_4,Descripción del Plato_4,10,18,2,48,Sin cebolla,36,16,44.00%
141,4,Plato_13,Descripción del Plato_13,13,21,1,28,Sin cebolla,21,8,38.00%
142,14,Plato_7,Descripción del Plato_7,14,24,3,37,Ninguna,72,30,42.00%
142,14,Plato_14,Descripción del Plato_14,14,23,3,11,Sin cebolla,69,27,39.00%
142,14,Plato_20,Descripción del Plato_20,25,40,1,22,Ninguna,40,15,38.00%
143,9,Plato_1,Descripción del Plato_1,15,25,2,16,Sin cebolla,50,20,40.00%
144,18,Plato_19,Descripción del Plato_19,22,36,1,27,Sin cebolla,36,14,39.00%
144,18,Plato_12,Descripción del Plato_12,11,19,3,51,Ninguna,57,24,42.00%
144,18,Plato_9,Descripción del Plato_9,17,29,2,38,Ninguna,58,24,41.00%
144,18,Plato_18,Descripción del Plato_18,20,34,1,34,Sin cebolla,34,14,41.00%
145,2,Plato_5,Descripción del Plato_5,13,22,3,59,Ninguna,66,27,41.00%
145,2,Plato_2,Descripción del Plato_2,18,30,2,47,Sin cebolla,60,24,40.00%
146,8,Plato_17,Descripción del Plato_17,19,31,2,47,Sin cebolla,62,24,39.00%
147,5,Plato_20,Descripción del Plato_20,25,40,1,13,Sin cebolla,40,15,38.00%
147,5,Plato_5,Descripción del Plato_5,13,22,2,20,Ninguna,44,18,41.00%
148,10,Plato_9,Descripción del Plato_9,17,29,2,31,Ninguna,58,24,41.00%
148,10,Plato_18,Descripción del Plato_18,20,34,2,57,Ninguna,68,28,41.00%
148,10,Plato_3,Descripción del Plato_3,12,20,3,46,Ninguna,60,24,40.00%
148,10,Plato_10,Descripción del Plato_10,15,26,1,25,Ninguna,26,11,42.00%
149,18,Plato_18,Descripción del Plato_18,20,34,3,28,Sin cebolla,102,42,41.00%
149,18,Plato_2,Descripción del Plato_2,18,30,1,38,Sin cebolla,30,12,40.00%
149,18,Plato_4,Descripción del Plato_4,10,18,2,25,Ninguna,36,16,44.00%
149,18,Plato_9,Descripción del Plato_9,17,29,2,48,Sin cebolla,58,24,41.00%
150,18,Plato_5,Descripción del Plato_5,13,22,2,19,Ninguna,44,18,41.00%
150,18,Plato_11,Descripción del Plato_11,20,33,2,57,Sin cebolla,66,26,39.00%
150,18,Plato_3,Descripción del Plato_3,12,20,2,30,Sin cebolla,40,16,40.00%
151,6,Plato_14,Descripción del Plato_14,14,23,3,13,Ninguna,69,27,39.00%
151,6,Plato_13,Descripción del Plato_13,13,21,3,6,Ninguna,63,24,38.00%
152,5,Plato_16,Descripción del Plato_16,16,28,2,12,Ninguna,56,24,43.00%
153,10,Plato_11,Descripción del Plato_11,20,33,3,10,Sin cebolla,99,39,39.00%
153,10,Plato_7,Descripción del Plato_7,14,24,1,53,Sin cebolla,24,10,42.00%
153,10,Plato_20,Descripción del Plato_20,25,40,2,26,Ninguna,80,30,38.00%
154,11,Plato_19,Descripción del Plato_19,22,36,3,52,Ninguna,108,42,39.00%
154,11,Plato_4,Descripción del Plato_4,10,18,2,30,Ninguna,36,16,44.00%
155,7,Plato_6,Descripción del Plato_6,16,27,2,24,Sin cebolla,54,22,41.00%
155,7,Plato_17,Descripción del Plato_17,19,31,2,43,Ninguna,62,24,39.00%
155,7,Plato_3,Descripción del Plato_3,12,20,1,33,Sin cebolla,20,8,40.00%
156,6,Plato_16,Descripción del Plato_16,16,28,2,6,Ninguna,56,24,43.00%
157,13,Plato_1,Descripción del Plato_1,15,25,3,48,Sin cebolla,75,30,40.00%
157,13,Plato_16,Descripción del Plato_16,16,28,1,54,Sin cebolla,28,12,43.00%
157,13,Plato_2,Descripción del Plato_2,18,30,2,27,Ninguna,60,24,40.00%
157,13,Plato_19,Descripción del Plato_19,22,36,3,21,Ninguna,108,42,39.00%
158,5,Plato_12,Descripción del Plato_12,11,19,1,57,Ninguna,19,8,42.00%
158,5,Plato_10,Descripción del Plato_10,15,26,3,55,Ninguna,78,33,42.00%
158,5,Plato_19,Descripción del Plato_19,22,36,3,7,Ninguna,108,42,39.00%
158,5,Plato_8,Descripción del Plato_8,21,35,3,16,Sin cebolla,105,42,40.00%
159,16,Plato_9,Descripción del Plato_9,17,29,3,23,Sin cebolla,87,36,41.00%
159,16,Plato_17,Descripción del Plato_17,19,31,1,5,Ninguna,31,12,39.00%
159,16,Plato_4,Descripción del Plato_4,10,18,2,6,Ninguna,36,16,44.00%
159,16,Plato_11,Descripción del Plato_11,20,33,3,40,Ninguna,99,39,39.00%
160,19,Plato_19,Descripción del Plato_19,22,36,3,20,Ninguna,108,42,39.00%
160,19,Plato_7,Descripción del Plato_7,14,24,2,47,Ninguna,48,20,42.00%
161,13,Plato_16,Descripción del Plato_16,16,28,3,57,Ninguna,84,36,43.00%
162,14,Plato_7,Descripción del Plato_7,14,24,3,25,Ninguna,72,30,42.00%
163,6,Plato_17,Descripción del Plato_17,19,31,3,8,Sin cebolla,93,36,39.00%
163,6,Plato_2,Descripción del Plato_2,18,30,3,16,Sin cebolla,90,36,40.00%
163,6,Plato_11,Descripción del Plato_11,20,33,2,40,Sin cebolla,66,26,39.00%
163,6,Plato_5,Descripción del Plato_5,13,22,1,7,Ninguna,22,9,41.00%
164,8,Plato_5,Descripción del Plato_5,13,22,1,43,Sin cebolla,22,9,41.00%
164,8,Plato_19,Descripción del Plato_19,22,36,1,7,Ninguna,36,14,39.00%
164,8,Plato_15,Descripción del Plato_15,19,32,2,20,Ninguna,64,26,41.00%
164,8,Plato_7,Descripción del Plato_7,14,24,2,35,Ninguna,48,20,42.00%
165,10,Plato_7,Descripción del Plato_7,14,24,2,15,Sin cebolla,48,20,42.00%
165,10,Plato_13,Descripción del Plato_13,13,21,2,41,Ninguna,42,16,38.00%
166,12,Plato_14,Descripción del Plato_14,14,23,2,22,Sin cebolla,46,18,39.00%
167,5,Plato_12,Descripción del Plato_12,11,19,1,29,Ninguna,19,8,42.00%
167,5,Plato_18,Descripción del Plato_18,20,34,3,11,Ninguna,102,42,41.00%
167,5,Plato_17,Descripción del Plato_17,19,31,1,36,Sin cebolla,31,12,39.00%
168,17,Plato_5,Descripción del Plato_5,13,22,2,7,Sin cebolla,44,18,41.00%
169,19,Plato_13,Descripción del Plato_13,13,21,2,44,Sin cebolla,42,16,38.00%
169,19,Plato_18,Descripción del Plato_18,20,34,2,59,Sin cebolla,68,28,41.00%
169,19,Plato_5,Descripción del Plato_5,13,22,2,7,Ninguna,44,18,41.00%
170,12,Plato_3,Descripción del Plato_3,12,20,3,16,Ninguna,60,24,40.00%
170,12,Plato_9,Descripción del Plato_9,17,29,3,16,Ninguna,87,36,41.00%
170,12,Plato_19,Descripción del Plato_19,22,36,1,33,Sin cebolla,36,14,39.00%
170,12,Plato_2,Descripción del Plato_2,18,30,2,8,Sin cebolla,60,24,40.00%
171,16,Plato_10,Descripción del Plato_10,15,26,2,29,Ninguna,52,22,42.00%
171,16,Plato_9,Descripción del Plato_9,17,29,3,22,Sin cebolla,87,36,41.00%
172,12,Plato_18,Descripción del Plato_18,20,34,2,27,Sin cebolla,68,28,41.00%
173,11,Plato_6,Descripción del Plato_6,16,27,3,15,Sin cebolla,81,33,41.00%
173,11,Plato_15,Descripción del Plato_15,19,32,3,52,Sin cebolla,96,39,41.00%
174,10,Plato_2,Descripción del Plato_2,18,30,2,12,Sin cebolla,60,24,40.00%
175,14,Plato_15,Descripción del Plato_15,19,32,3,9,Sin cebolla,96,39,41.00%
175,14,Plato_7,Descripción del Plato_7,14,24,2,38,Ninguna,48,20,42.00%
176,20,Plato_13,Descripción del Plato_13,13,21,3,48,Sin cebolla,63,24,38.00%
177,4,Plato_7,Descripción del Plato_7,14,24,2,10,Sin cebolla,48,20,42.00%
177,4,Plato_10,Descripción del Plato_10,15,26,1,40,Ninguna,26,11,42.00%
177,4,Plato_13,Descripción del Plato_13,13,21,2,45,Sin cebolla,42,16,38.00%
177,4,Plato_12,Descripción del Plato_12,11,19,3,47,Ninguna,57,24,42.00%
178,11,Plato_2,Descripción del Plato_2,18,30,1,55,Sin cebolla,30,12,40.00%
178,11,Plato_8,Descripción del Plato_8,21,35,1,16,Sin cebolla,35,14,40.00%
178,11,Plato_5,Descripción del Plato_5,13,22,2,20,Ninguna,44,18,41.00%
178,11,Plato_11,Descripción del Plato_11,20,33,3,55,Ninguna,99,39,39.00%
179,12,Plato_17,Descripción del Plato_17,19,31,2,26,Ninguna,62,24,39.00%
180,10,Plato_9,Descripción del Plato_9,17,29,1,35,Sin cebolla,29,12,41.00%
180,10,Plato_2,Descripción del Plato_2,18,30,3,20,Sin cebolla,90,36,40.00%
180,10,Plato_3,Descripción del Plato_3,12,20,1,50,Ninguna,20,8,40.00%
180,10,Plato_6,Descripción del Plato_6,16,27,1,56,Ninguna,27,11,41.00%
181,15,Plato_6,Descripción del Plato_6,16,27,1,55,Sin cebolla,27,11,41.00%
182,18,Plato_12,Descripción del Plato_12,11,19,2,11,Sin cebolla,38,16,42.00%
183,18,Plato_15,Descripción del Plato_15,19,32,2,52,Ninguna,64,26,41.00%
183,18,Plato_10,Descripción del Plato_10,15,26,1,10,Ninguna,26,11,42.00%
183,18,Plato_3,Descripción del Plato_3,12,20,3,58,Ninguna,60,24,40.00%
183,18,Plato_8,Descripción del Plato_8,21,35,3,46,Ninguna,105,42,40.00%
184,4,Plato_16,Descripción del Plato_16,16,28,3,6,Sin cebolla,84,36,43.00%
184,4,Plato_6,Descripción del Plato_6,16,27,3,10,Ninguna,81,33,41.00%
184,4,Plato_3,Descripción del Plato_3,12,20,2,13,Sin cebolla,40,16,40.00%
185,16,Plato_13,Descripción del Plato_13,13,21,3,34,Ninguna,63,24,38.00%
185,16,Plato_16,Descripción del Plato_16,16,28,1,6,Sin cebolla,28,12,43.00%
186,13,Plato_6,Descripción del Plato_6,16,27,3,16,Ninguna,81,33,41.00%
186,13,Plato_15,Descripción del Plato_15,19,32,3,23,Sin cebolla,96,39,41.00%
186,13,Plato_17,Descripción del Plato_17,19,31,3,54,Ninguna,93,36,39.00%
187,5,Plato_18,Descripción del Plato_18,20,34,2,28,Sin cebolla,68,28,41.00%
187,5,Plato_10,Descripción del Plato_10,15,26,1,51,Ninguna,26,11,42.00%
187,5,Plato_9,Descripción del Plato_9,17,29,3,11,Ninguna,87,36,41.00%
187,5,Plato_6,Descripción del Plato_6,16,27,1,36,Sin cebolla,27,11,41.00%
188,20,Plato_17,Descripción del Plato_17,19,31,1,58,Ninguna,31,12,39.00%
188,20,Plato_10,Descripción del Plato_10,15,26,2,47,Ninguna,52,22,42.00%
189,11,Plato_18,Descripción del Plato_18,20,34,2,42,Sin cebolla,68,28,41.00%
189,11,Plato_10,Descripción del Plato_10,15,26,2,22,Sin cebolla,52,22,42.00%
189,11,Plato_7,Descripción del Plato_7,14,24,3,53,Sin cebolla,72,30,42.00%
190,5,Plato_4,Descripción del Plato_4,10,18,1,39,Ninguna,18,8,44.00%
190,5,Plato_20,Descripción del Plato_20,25,40,2,45,Ninguna,80,30,38.00%
190,5,Plato_8,Descripción del Plato_8,21,35,1,11,Sin cebolla,35,14,40.00%
190,5,Plato_14,Descripción del Plato_14,14,23,3,7,Sin cebolla,69,27,39.00%
191,12,Plato_1,Descripción del Plato_1,15,25,3,32,Sin cebolla,75,30,40.00%
191,12,Plato_9,Descripción del Plato_9,17,29,3,55,Ninguna,87,36,41.00%
192,17,Plato_1,Descripción del Plato_1,15,25,3,26,Ninguna,75,30,40.00%
193,3,Plato_10,Descripción del Plato_10,15,26,2,57,Sin cebolla,52,22,42.00%
193,3,Plato_19,Descripción del Plato_19,22,36,2,59,Ninguna,72,28,39.00%
193,3,Plato_6,Descripción del Plato_6,16,27,1,31,Sin cebolla,27,11,41.00%
193,3,Plato_14,Descripción del Plato_14,14,23,3,24,Ninguna,69,27,39.00%
194,3,Plato_11,Descripción del Plato_11,20,33,2,18,Ninguna,66,26,39.00%
194,3,Plato_2,Descripción del Plato_2,18,30,1,50,Ninguna,30,12,40.00%
195,2,Plato_1,Descripción del Plato_1,15,25,2,51,Ninguna,50,20,40.00%
196,4,Plato_3,Descripción del Plato_3,12,20,3,34,Sin cebolla,60,24,40.00%
196,4,Plato_14,Descripción del Plato_14,14,23,2,51,Ninguna,46,18,39.00%
196,4,Plato_9,Descripción del Plato_9,17,29,1,47,Sin cebolla,29,12,41.00%
196,4,Plato_16,Descripción del Plato_16,16,28,2,44,Sin cebolla,56,24,43.00%
197,5,Plato_18,Descripción del Plato_18,20,34,3,22,Ninguna,102,42,41.00%
197,5,Plato_6,Descripción del Plato_6,16,27,1,50,Ninguna,27,11,41.00%
198,9,Plato_6,Descripción del Plato_6,16,27,2,33,Ninguna,54,22,41.00%
199,11,Plato_9,Descripción del Plato_9,17,29,3,31,Ninguna,87,36,41.00%
199,11,Plato_8,Descripción del Plato_8,21,35,3,41,Sin cebolla,105,42,40.00%
199,11,Plato_13,Descripción del Plato_13,13,21,2,18,Sin cebolla,42,16,38.00%
199,11,Plato_6,Descripción del Plato_6,16,27,1,52,Sin cebolla,27,11,41.00%
200,11,Plato_12,Descripción del Plato_12,11,19,2,39,Ninguna,38,16,42.00%
200,11,Plato_1,Descripción del Plato_1,15,25,2,28,Sin cebolla,50,20,40.00%
201,3,Plato_7,Descripción del Plato_7,14,24,3,58,Sin cebolla,72,30,42.00%
202,16,Plato_19,Descripción del Plato_19,22,36,2,46,Sin cebolla,72,28,39.00%
202,16,Plato_20,Descripción del Plato_20,25,40,2,47,Ninguna,80,30,38.00%
202,16,Plato_7,Descripción del Plato_7,14,24,1,5,Ninguna,24,10,42.00%
202,16,Plato_2,Descripción del Plato_2,18,30,1,58,Ninguna,30,12,40.00%
203,5,Plato_17,Descripción del Plato_17,19,31,3,51,Ninguna,93,36,39.00%
203,5,Plato_13,Descripción del Plato_13,13,21,3,34,Sin cebolla,63,24,38.00%
204,16,Plato_7,Descripción del Plato_7,14,24,2,21,Ninguna,48,20,42.00%
205,14,Plato_15,Descripción del Plato_15,19,32,1,34,Ninguna,32,13,41.00%
205,14,Plato_9,Descripción del Plato_9,17,29,1,52,Sin cebolla,29,12,41.00%
206,4,Plato_2,Descripción del Plato_2,18,30,1,58,Sin cebolla,30,12,40.00%
207,20,Plato_10,Descripción del Plato_10,15,26,2,37,Ninguna,52,22,42.00%
207,20,Plato_8,Descripción del Plato_8,21,35,1,55,Sin cebolla,35,14,40.00%
207,20,Plato_17,Descripción del Plato_17,19,31,3,19,Sin cebolla,93,36,39.00%
208,16,Plato_15,Descripción del Plato_15,19,32,1,18,Sin cebolla,32,13,41.00%
208,16,Plato_19,Descripción del Plato_19,22,36,3,29,Sin cebolla,108,42,39.00%
208,16,Plato_3,Descripción del Plato_3,12,20,2,53,Ninguna,40,16,40.00%
209,9,Plato_14,Descripción del Plato_14,14,23,3,35,Sin cebolla,69,27,39.00%
209,9,Plato_18,Descripción del Plato_18,20,34,2,40,Sin cebolla,68,28,41.00%
209,9,Plato_1,Descripción del Plato_1,15,25,1,42,Ninguna,25,10,40.00%
209,9,Plato_10,Descripción del Plato_10,15,26,2,54,Ninguna,52,22,42.00%
210,10,Plato_13,Descripción del Plato_13,13,21,1,28,Sin cebolla,21,8,38.00%
210,10,Plato_2,Descripción del Plato_2,18,30,1,50,Ninguna,30,12,40.00%
210,10,Plato_7,Descripción del Plato_7,14,24,1,34,Ninguna,24,10,42.00%
210,10,Plato_20,Descripción del Plato_20,25,40,3,46,Ninguna,120,45,38.00%
211,1,Plato_13,Descripción del Plato_13,13,21,3,54,Sin cebolla,63,24,38.00%
211,1,Plato_4,Descripción del Plato_4,10,18,2,45,Ninguna,36,16,44.00%
211,1,Plato_1,Descripción del Plato_1,15,25,2,9,Ninguna,50,20,40.00%
211,1,Plato_3,Descripción del Plato_3,12,20,1,27,Ninguna,20,8,40.00%
212,14,Plato_2,Descripción del Plato_2,18,30,3,35,Sin cebolla,90,36,40.00%
212,14,Plato_10,Descripción del Plato_10,15,26,3,43,Sin cebolla,78,33,42.00%
212,14,Plato_13,Descripción del Plato_13,13,21,1,31,Sin cebolla,21,8,38.00%
212,14,Plato_16,Descripción del Plato_16,16,28,2,55,Sin cebolla,56,24,43.00%
213,13,Plato_6,Descripción del Plato_6,16,27,1,53,Ninguna,27,11,41.00%
213,13,Plato_2,Descripción del Plato_2,18,30,2,47,Sin cebolla,60,24,40.00%
214,2,Plato_18,Descripción del Plato_18,20,34,2,14,Ninguna,68,28,41.00%
214,2,Plato_20,Descripción del Plato_20,25,40,3,12,Sin cebolla,120,45,38.00%
214,2,Plato_3,Descripción del Plato_3,12,20,2,12,Sin cebolla,40,16,40.00%
215,6,Plato_18,Descripción del Plato_18,20,34,2,12,Ninguna,68,28,41.00%
215,6,Plato_2,Descripción del Plato_2,18,30,3,34,Ninguna,90,36,40.00%
216,17,Plato_1,Descripción del Plato_1,15,25,1,42,Ninguna,25,10,40.00%
216,17,Plato_13,Descripción del Plato_13,13,21,3,36,Ninguna,63,24,38.00%
216,17,Plato_6,Descripción del Plato_6,16,27,2,42,Ninguna,54,22,41.00%
217,1,Plato_15,Descripción del Plato_15,19,32,3,13,Sin cebolla,96,39,41.00%
218,13,Plato_12,Descripción del Plato_12,11,19,3,24,Sin cebolla,57,24,42.00%
218,13,Plato_6,Descripción del Plato_6,16,27,3,16,Ninguna,81,33,41.00%
218,13,Plato_14,Descripción del Plato_14,14,23,2,6,Ninguna,46,18,39.00%
219,1,Plato_14,Descripción del Plato_14,14,23,2,12,Ninguna,46,18,39.00%
219,1,Plato_17,Descripción del Plato_17,19,31,3,11,Sin cebolla,93,36,39.00%
220,15,Plato_7,Descripción del Plato_7,14,24,1,13,Ninguna,24,10,42.00%
221,16,Plato_15,Descripción del Plato_15,19,32,3,29,Ninguna,96,39,41.00%
221,16,Plato_18,Descripción del Plato_18,20,34,2,54,Sin cebolla,68,28,41.00%
221,16,Plato_9,Descripción del Plato_9,17,29,1,25,Ninguna,29,12,41.00%
222,3,Plato_14,Descripción del Plato_14,14,23,3,29,Ninguna,69,27,39.00%
222,3,Plato_16,Descripción del Plato_16,16,28,1,56,Ninguna,28,12,43.00%
223,19,Plato_15,Descripción del Plato_15,19,32,1,53,Ninguna,32,13,41.00%
224,7,Plato_10,Descripción del Plato_10,15,26,2,20,Ninguna,52,22,42.00%
225,19,Plato_11,Descripción del Plato_11,20,33,3,56,Sin cebolla,99,39,39.00%
225,19,Plato_14,Descripción del Plato_14,14,23,3,38,Sin cebolla,69,27,39.00%
226,7,Plato_3,Descripción del Plato_3,12,20,2,7,Ninguna,40,16,40.00%
226,7,Plato_13,Descripción del Plato_13,13,21,1,29,Sin cebolla,21,8,38.00%
226,7,Plato_6,Descripción del Plato_6,16,27,3,56,Ninguna,81,33,41.00%
226,7,Plato_9,Descripción del Plato_9,17,29,1,54,Sin cebolla,29,12,41.00%
227,17,Plato_7,Descripción del Plato_7,14,24,1,58,Ninguna,24,10,42.00%
227,17,Plato_17,Descripción del Plato_17,19,31,3,15,Sin cebolla,93,36,39.00%
227,17,Plato_16,Descripción del Plato_16,16,28,1,13,Ninguna,28,12,43.00%
227,17,Plato_11,Descripción del Plato_11,20,33,2,33,Ninguna,66,26,39.00%
228,16,Plato_14,Descripción del Plato_14,14,23,3,35,Ninguna,69,27,39.00%
229,14,Plato_1,Descripción del Plato_1,15,25,1,28,Sin cebolla,25,10,40.00%
229,14,Plato_8,Descripción del Plato_8,21,35,1,43,Ninguna,35,14,40.00%
229,14,Plato_19,Descripción del Plato_19,22,36,1,19,Sin cebolla,36,14,39.00%
229,14,Plato_16,Descripción del Plato_16,16,28,1,27,Sin cebolla,28,12,43.00%
230,5,Plato_15,Descripción del Plato_15,19,32,3,10,Sin cebolla,96,39,41.00%
230,5,Plato_16,Descripción del Plato_16,16,28,2,24,Sin cebolla,56,24,43.00%
230,5,Plato_17,Descripción del Plato_17,19,31,2,57,Sin cebolla,62,24,39.00%
231,8,Plato_13,Descripción del Plato_13,13,21,2,29,Sin cebolla,42,16,38.00%
231,8,Plato_18,Descripción del Plato_18,20,34,3,17,Sin cebolla,102,42,41.00%
231,8,Plato_17,Descripción del Plato_17,19,31,1,53,Sin cebolla,31,12,39.00%
231,8,Plato_11,Descripción del Plato_11,20,33,1,51,Ninguna,33,13,39.00%
232,2,Plato_7,Descripción del Plato_7,14,24,1,50,Sin cebolla,24,10,42.00%
232,2,Plato_6,Descripción del Plato_6,16,27,2,30,Sin cebolla,54,22,41.00%
232,2,Plato_2,Descripción del Plato_2,18,30,2,40,Sin cebolla,60,24,40.00%
232,2,Plato_10,Descripción del Plato_10,15,26,2,19,Ninguna,52,22,42.00%
233,8,Plato_12,Descripción del Plato_12,11,19,2,31,Sin cebolla,38,16,42.00%
234,17,Plato_2,Descripción del Plato_2,18,30,2,41,Sin cebolla,60,24,40.00%
234,17,Plato_7,Descripción del Plato_7,14,24,3,35,Ninguna,72,30,42.00%
234,17,Plato_17,Descripción del Plato_17,19,31,3,23,Sin cebolla,93,36,39.00%
235,13,Plato_11,Descripción del Plato_11,20,33,1,25,Ninguna,33,13,39.00%
236,12,Plato_11,Descripción del Plato_11,20,33,3,21,Ninguna,99,39,39.00%
236,12,Plato_5,Descripción del Plato_5,13,22,1,7,Ninguna,22,9,41.00%
236,12,Plato_8,Descripción del Plato_8,21,35,2,43,Sin cebolla,70,28,40.00%
236,12,Plato_15,Descripción del Plato_15,19,32,2,30,Ninguna,64,26,41.00%
237,4,Plato_14,Descripción del Plato_14,14,23,2,12,Ninguna,46,18,39.00%
237,4,Plato_2,Descripción del Plato_2,18,30,2,25,Sin cebolla,60,24,40.00%
238,13,Plato_19,Descripción del Plato_19,22,36,2,45,Sin cebolla,72,28,39.00%
